,property_type,area_m2,price_usd,lat,lon,state
1,apartment,71,48550.59,19.52589,-99.151703,Distrito Federal
2,house,233,168636.73,19.2640539,-99.5727534,Estado de México
3,house,300,86932.69,19.268629,-99.671722,Estado de México
4,apartment,84,68508.67,19.511938,-96.871956,Veracruz de Ignacio de la Llave
5,house,175,102763,20.689157,-103.366728,Jalisco
6,house,223,126477.54,21.0441317,-89.6216334,Yucatán
7,house,179,121207.64,21.129547,-86.817017,Quintana Roo
8,house,205,226869.1,21.003574,-101.285683,Guanajuato
9,house,130,76395.4,19.667873,-101.233465,Chiapas
10,apartment,67,50052.15,19.443178,-99.144234,Distrito Federal
11,apartment,80,51076.22,19.396593,-99.133163,Distrito Federal
12,house,263,152932.43,21.1299039,-101.6220159,Guanajuato
13,house,367,216014.58,25.625994,-100.283852,Nuevo León
14,apartment,60,34246.21,19.524143,-99.160149,Distrito Federal
15,apartment,120,100104.31,19.386959,-99.219492,Distrito Federal
16,house,320,158059.45,20.949741,-97.396337,Veracruz de Ignacio de la Llave
17,house,122,103500.79,18.920345,-99.235603,Morelos
18,apartment,191,237145.4,16.863794,-99.881614,Guerrero
19,house,220,104319.23,19.136782,-96.123543,Veracruz de Ignacio de la Llave
20,apartment,153,65633.66,19.403334,-99.145021,Distrito Federal
21,house,205,90115.25,21.0411724,-89.5550539,Yucatán
22,house,120,110667.85,25.441315,-100.987683,Veracruz de Ignacio de la Llave
23,house,115,62585.3,32.425724,-117.034189,Baja California
24,house,260,91674.48,19.484794,-98.874065,Estado de México
25,apartment,107,79443.7,19.378533,-99.187561,Distrito Federal
26,house,192,115910.26,25.740887,-100.385582,Nuevo León
27,house,106,52686.48,16.769737,-93.088928,Chiapas
28,house,190,150192.08,20.650429,-103.374611,Jalisco
29,apartment,103,50942.31,19.387613,-99.202726,Distrito Federal
30,house,171,105397.95,18.890867,-99.177444,Morelos
31,apartment,203,189716.32,21.139086,-86.84964,Quintana Roo
32,apartment,140,273969.71,19.413079,-99.174228,Distrito Federal
33,house,160,157532.58,19.410826,-99.143757,Distrito Federal
34,house,200,173865.39,18.900852,-99.213448,Morelos
35,apartment,75,56689.55,19.428767,-99.1459,Distrito Federal
36,house,149,100104.31,19.595285,-99.050201,Estado de México
37,apartment,117,144922.18,19.531834,-99.240456,Estado de México
38,house,293,110667.85,18.818652,-98.936752,Morelos
39,house,233,99577.45,23.634501,-102.552788,Veracruz de Ignacio de la Llave
40,house,280,92201.34,21.137991,-86.870964,Quintana Roo
41,house,160,92130.98,18.7696195,-95.758949,Veracruz de Ignacio de la Llave
42,house,190,99050.58,22.16921719,-101.0471908,San Luis Potosí
43,house,200,98523.72,23.634501,-102.552788,Nuevo León
44,house,300,52686.48,19.101794,-98.87164,Estado de México
45,house,180,123842.59,19.517859,-96.891403,Veracruz de Ignacio de la Llave
46,house,117,142253.5,19.2790911,-99.2114234,Distrito Federal
47,apartment,83,68245.17,15.75290031,-96.13572478,Oaxaca
48,apartment,104,103370.88,19.302422,-99.230829,Distrito Federal
49,house,350,242357.82,19.343664,-99.212308,Distrito Federal
50,apartment,100,79029.72,16.868438,-99.89028,Guerrero
51,house,198,123813.23,18.93409,-99.254997,Morelos
52,house,280,55039.77,19.534415,-99.023333,Estado de México
53,house,168,92201.34,19.043223,-98.268716,Puebla
54,apartment,75,81683.41,19.05272242,-98.2346043,Puebla
55,house,200,115910.26,18.981213,-99.206345,Morelos
56,apartment,80,53158.13,19.395097,-99.150424,Distrito Federal
57,house,305,189716.32,18.862602,-99.213448,Morelos
58,house,90,57955.13,20.594334,-103.425086,Jalisco
59,house,152,105397.95,18.9915056,-98.2181614,Puebla
60,apartment,144,100128.05,22.125832,-101.035118,San Luis Potosí
61,apartment,87,173490.81,25.592172,-99.9961947,Nuevo León
62,house,84,49986.51,19.295469,-99.692619,Estado de México
63,house,90,55320.8,20.703063,-101.339442,Guanajuato
64,house,190,165962.42,19.670241,-101.190542,Chiapas
65,house,135,89587.99,20.95915531,-89.62749481,Yucatán
66,house,200,120652.04,20.635013,-103.42725,Jalisco
67,house,260,158059.45,19.673779,-101.187927,Chiapas
68,apartment,125,210745.93,17.997911,-92.923836,Tabasco
69,apartment,113,153686.47,19.508253,-99.254997,Estado de México
70,apartment,127,131747.44,18.937398,-99.246207,Morelos
71,apartment,63,36817.31,32.486253,-117.054332,Baja California
72,house,272,210795.91,18.980228,-98.28654528,Puebla
73,house,95,52698.97,20.5969621,-100.3337597,Querétaro
74,house,180,72724.58,21.0181429,-89.6396127,Yucatán
75,house,212,44256.64,28.6275048,-106.0401387,Chihuahua
76,house,248,151210.2,20.723525,-100.45586,Querétaro
77,house,198,131716.2,20.729762,-100.467159,Querétaro
78,house,245,147557.13,18.7696195,-95.758949,Veracruz de Ignacio de la Llave
79,house,140,162801.23,19.410632,-99.13847,Distrito Federal
80,house,158,86247.77,19.672207,-99.015656,Estado de México
81,house,200,134382.39,28.61033243,-106.1123085,Chihuahua
82,house,100,44730.82,23.634501,-102.552788,Baja California Sur
83,apartment,67,35826.8,17.928942,-92.912029,Tabasco
84,house,270,250260.79,20.572651,-103.474675,Jalisco
85,house,282,68508.67,19.1553371,-96.1682507,Veracruz de Ignacio de la Llave
86,house,350,115910.26,20.957177,-97.410652,Veracruz de Ignacio de la Llave
87,house,108,35036.51,25.7815621,-100.1875974,Nuevo León
88,house,162,83226.17,21.039522,-89.563911,Yucatán
89,house,145,115910.26,20.543838,-100.412211,Querétaro
90,house,190,124633.08,19.1564195,-96.111619,Veracruz de Ignacio de la Llave
91,house,80,132559.19,19.275725,-99.129684,Distrito Federal
92,house,330,184402.69,18.90666,-98.965851,Morelos
93,apartment,83,52574.87,19.342083,-99.0532159,Distrito Federal
94,house,135,78521.47,20.570164,-100.363823,Querétaro
95,house,340,289775.66,18.926468,-99.214211,Morelos
96,apartment,174,89430.16,19.368553,-99.178235,Distrito Federal
97,house,93,59022.85,20.58281871,-100.4178554,Querétaro
98,apartment,102,177267.41,19.427607,-99.160835,Distrito Federal
99,house,144,71126.75,16.770111,-93.08167,Chiapas
100,apartment,70,79029.72,19.460046,-99.140495,Distrito Federal
101,house,200,123842.59,18.9015371,-98.9336558,Morelos
102,house,140,84298.37,16.748295,-93.084284,Chiapas
103,house,123,85178.23,20.5198184,-100.3933074,Querétaro
104,house,150,86932.69,18.890867,-99.177444,Morelos
105,house,74,33350.54,19.682383,-98.984458,Estado de México
106,house,300,237089.17,20.582091,-100.391196,Querétaro
107,apartment,164,184446.42,19.0733273,-98.2658243,Puebla
108,house,220,136984.85,21.161908,-86.8515279,Quintana Roo
109,apartment,129,137017.34,18.949474,-99.232381,Morelos
110,house,71,36353.67,18.795519,-99.231445,Morelos
111,house,290,115910.26,25.484016,-100.966568,Veracruz de Ignacio de la Llave
112,house,280,205477.28,20.536322,-100.436844,Querétaro
113,house,182,68492.42,19.343424,-99.135933,Distrito Federal
114,house,329,104343.97,19.274727,-103.74485,Colima
115,house,110,59022.85,20.5412697,-100.3997814,Querétaro
116,house,310,237145.4,25.72963702,-100.2941036,Nuevo León
117,house,250,68492.42,18.835054,-98.951226,Morelos
118,apartment,81,149629.61,19.368475,-99.17952,Distrito Federal
119,house,210,85949.19,19.285891,-99.108269,Distrito Federal
120,apartment,150,222924.2,19.392302,-99.154385,Distrito Federal
121,house,96,138598.31,19.29259294,-99.1806221,Distrito Federal
122,house,260,122525.12,20.5426931,-100.4512523,Querétaro
123,house,239,138334.81,19.0652948,-96.069905,Veracruz de Ignacio de la Llave
124,house,275,163328.09,20.6129,-103.464564,Jalisco
125,apartment,192,121207.64,18.983398,-98.288951,Puebla
126,house,260,68492.42,19.657836,-101.184317,Chiapas
127,house,126,77467.49,21.03071,-89.618103,Yucatán
128,house,190,63223.78,19.710472,-101.222626,Chiapas
129,house,230,289775.66,19.476202,-99.261893,Estado de México
130,house,182,326733.66,28.663404,-106.133102,Chihuahua
131,house,206,168596.74,20.726262,-103.468575,Jalisco
132,house,125,60589.45,19.137135,-96.112946,Veracruz de Ignacio de la Llave
133,house,210,202842.96,19.52246234,-99.25159096,Estado de México
134,apartment,132,93781.94,20.696185,-100.450005,Querétaro
135,house,116,84087.62,20.092012,-98.741743,Hidalgo
136,house,102,33982.78,32.601212,-115.474838,Baja California
137,house,370,192305.66,16.765467,-93.105786,Chiapas
138,house,195,91632.19,21.039522,-89.563911,Yucatán
139,apartment,100,55847.67,18.989942,-98.247486,Puebla
140,house,130,68492.42,18.898756,-96.998779,Veracruz de Ignacio de la Llave
141,house,232,125393.83,19.119549,-96.107643,Veracruz de Ignacio de la Llave
142,house,90,136405.3,19.353288,-99.244721,Distrito Federal
143,house,168,104319.23,22.13850051,-100.9965723,San Luis Potosí
144,house,162,57955.13,29.083198,-110.993222,Sonora
145,house,165,111331.75,19.044477,-98.328011,Puebla
146,house,171,141199.77,19.510133,-99.100025,Distrito Federal
147,house,168,67438.69,18.850763,-98.943855,Morelos
148,house,98,43213.16,25.75837272,-100.2713531,Nuevo León
149,house,260,163328.09,20.726007,-100.442642,Querétaro
150,house,150,205526.01,19.5562275,-99.2674713,Estado de México
151,apartment,60,46943.65,19.345528,-99.189906,Distrito Federal
152,house,300,289775.66,18.935198,-99.232834,Morelos
153,house,156,99577.45,19.03362,-98.203294,Puebla
154,house,256,184446.42,19.229864,-99.597954,Estado de México
155,house,330,171271.67,21.039522,-89.563911,Yucatán
156,house,220,205477.28,18.936026,-99.216217,Morelos
157,house,182,81664.04,18.053865,-92.937809,Tabasco
